# resolution_mm=5
# Bone interior particle positions [mm]  (stl=Sawbone.STL, count=3416)
# x_mm,y_mm,z_mm
20.158731,15.119030,45.076288
20.158877,15.119067,50.076182
20.158905,20.119186,5.076238
20.158747,20.119046,10.076301
20.158790,20.119197,15.076187
20.158873,20.119145,20.076203
20.158769,20.119042,25.076348
20.158784,20.119180,30.076304
20.158819,20.119010,35.076314
20.158789,20.119039,40.076299
20.158758,20.119179,45.076201
20.158907,20.119116,50.076216
20.158873,25.119104,5.076340
20.158828,25.119200,10.076288
20.158719,25.119019,15.076357
20.158805,25.119196,20.076241
20.158829,25.119112,25.076351
20.158732,25.119112,30.076361
20.158868,25.119034,35.076179
20.158723,25.119105,40.076264
20.158859,25.119202,45.076187
20.158800,25.119076,50.076299
20.158882,30.119188,5.076287
20.158910,30.119051,10.076335
20.158882,30.119182,15.076193
20.158782,30.119019,20.076313
20.158836,30.119094,25.076347
20.158756,30.119076,30.076327
20.158785,30.119149,35.076182
20.158787,30.119042,40.076180
20.158912,30.119021,45.076219
20.158778,30.119087,50.076245
20.158906,35.119042,10.076215
20.158790,35.119148,15.076315
20.158795,35.119119,20.076291
20.158904,35.119097,25.076260
20.158868,35.119028,30.076316
20.158754,35.119075,35.076189
20.158752,35.119102,40.076350
20.158733,35.119066,45.076233
20.158902,35.119137,50.076215
20.158873,40.119101,20.076207
20.158875,40.119108,25.076330
20.158778,40.119153,30.076203
20.158906,40.119121,35.076219
20.158761,40.119028,40.076252
20.158813,40.119144,45.076342
20.158817,40.119070,50.076330
20.158741,45.119102,25.076283
20.158898,45.119141,30.076266
20.158785,45.119075,35.076197
20.158857,45.119115,40.076280
20.158846,45.119181,45.076284
20.158886,45.119200,50.076268
20.158752,50.119129,25.076251
20.158761,50.119020,30.076247
20.158840,50.119046,35.076304
20.158917,50.119170,40.076360
20.158766,50.119079,45.076242
20.158910,55.119010,30.076358
20.158848,55.119121,35.076320
20.158887,55.119070,40.076301
20.158785,55.119112,45.076194
20.158895,60.119103,30.076354
20.158759,60.119145,35.076248
20.158886,60.119159,40.076288
20.158812,425.119197,25.076229
20.158741,425.119159,30.076209
20.158737,430.119017,25.076367
20.158770,430.119156,30.076329
20.158776,430.119027,35.076236
20.158917,435.119061,30.076181
25.158829,5.119066,10.076284
25.158780,5.119088,15.076212
25.158821,5.119124,20.076242
25.158803,5.119129,25.076178
25.158807,5.119151,30.076260
25.158857,5.119163,35.076172
25.158861,10.119041,5.076308
25.158769,10.119106,10.076264
25.158884,10.119182,15.076234
25.158916,10.119152,20.076186
25.158749,10.119114,25.076336
25.158839,10.119098,30.076255
25.158844,10.119125,35.076276
25.158810,10.119104,40.076329
25.158788,15.119102,5.076275
25.158763,15.119168,10.076232
25.158728,15.119195,15.076358
25.158769,15.119122,20.076239
25.158835,15.119027,25.076305
25.158905,15.119147,30.076234
25.158741,15.119022,35.076361
25.158753,15.119102,40.076349
25.158871,15.119194,45.076201
25.158910,20.119080,5.076295
25.158848,20.119019,10.076362
25.158774,20.119067,15.076327
25.158817,20.119152,20.076347
25.158815,20.119128,25.076300
25.158850,20.119086,30.076208
25.158879,20.119127,35.076186
25.158837,20.119119,40.076324
25.158788,20.119195,45.076298
25.158773,20.119074,50.076235
25.158778,25.119076,5.076327
25.158839,25.119128,10.076346
25.158890,25.119197,15.076229
25.158833,25.119073,20.076337
25.158720,25.119172,25.076265
25.158808,25.119106,30.076247
25.158863,25.119186,35.076323
25.158798,25.119197,40.076207
25.158903,25.119155,45.076304
25.158869,25.119111,50.076216
25.158801,25.119132,55.076313
25.158817,30.119031,5.076233
25.158732,30.119145,10.076259
25.158789,30.119161,15.076355
25.158832,30.119034,20.076246
25.158912,30.119158,25.076356
25.158734,30.119127,30.076229
25.158804,30.119166,35.076321
25.158726,30.119158,40.076207
25.158873,30.119121,45.076327
25.158807,30.119103,50.076188
25.158797,30.119117,55.076204
25.158758,35.119039,15.076184
25.158912,35.119038,20.076303
25.158882,35.119092,25.076246
25.158738,35.119122,30.076368
25.158748,35.119032,35.076358
25.158834,35.119046,40.076328
25.158843,35.119141,45.076336
25.158748,35.119128,50.076199
25.158865,40.119119,25.076293
25.158766,40.119193,30.076317
25.158781,40.119180,35.076199
25.158720,40.119096,40.076253
25.158801,40.119170,45.076194
25.158841,40.119076,50.076270
25.158887,45.119062,25.076217
25.158848,45.119167,30.076365
25.158792,45.119184,35.076293
25.158814,45.119107,40.076170
25.158873,45.119145,45.076281
25.158812,45.119201,50.076356
25.158769,50.119129,25.076274
25.158827,50.119181,30.076269
25.158895,50.119111,35.076195
25.158915,50.119143,40.076186
25.158736,50.119072,45.076355
25.158775,50.119194,50.076275
25.158908,55.119179,30.076204
25.158857,55.119107,35.076243
25.158770,55.119118,40.076173
25.158854,55.119103,45.076319
25.158810,55.119070,50.076232
25.158766,60.119078,30.076250
25.158726,60.119078,35.076225
25.158798,60.119095,40.076247
25.158865,60.119016,45.076174
25.158865,65.119138,30.076280
25.158815,65.119025,35.076187
25.158721,65.119094,40.076272
25.158720,65.119031,45.076217
25.158744,70.119110,30.076262
25.158908,70.119202,35.076360
25.158724,70.119007,40.076214
25.158796,70.119130,45.076181
25.158752,75.119076,35.076355
25.158877,75.119168,40.076355
25.158741,80.119016,35.076318
25.158767,80.119191,40.076198
25.158745,420.119127,20.076219
25.158802,420.119147,25.076195
25.158889,420.119204,30.076193
25.158768,420.119110,35.076195
25.158811,425.119106,15.076255
25.158779,425.119138,20.076350
25.158743,425.119122,25.076325
25.158791,425.119100,30.076295
25.158850,425.119046,35.076187
25.158859,425.119090,40.076318
25.158739,430.119067,15.076343
25.158773,430.119197,20.076313
25.158807,430.119054,25.076320
25.158728,430.119037,30.076330
25.158771,430.119013,35.076172
25.158801,430.119133,40.076332
25.158820,430.119022,45.076297
25.158743,435.119135,20.076201
25.158891,435.119183,25.076276
25.158764,435.119075,30.076316
25.158761,435.119175,35.076187
25.158806,435.119046,40.076293
25.158744,440.119077,20.076213
25.158893,440.119141,25.076188
25.158731,440.119044,30.076253
25.158744,440.119060,35.076200
25.158747,440.119089,40.076333
30.158738,10.119096,20.076227
30.158836,10.119090,25.076234
30.158823,10.119050,30.076231
30.158795,10.119013,35.076236
30.158855,10.119062,40.076351
30.158724,15.119161,15.076177
30.158767,15.119088,20.076249
30.158793,15.119168,25.076301
30.158757,15.119159,30.076350
30.158723,15.119049,35.076342
30.158853,15.119191,40.076335
30.158752,15.119007,45.076319
30.158847,20.119043,15.076326
30.158783,20.119071,20.076286
30.158862,20.119201,25.076356
30.158768,20.119196,30.076180
30.158756,20.119067,35.076234
30.158809,20.119096,40.076326
30.158909,20.119184,45.076343
30.158756,20.119150,50.076244
30.158738,25.119041,15.076249
30.158870,25.119014,20.076234
30.158821,25.119051,25.076279
30.158765,25.119044,30.076267
30.158779,25.119060,35.076292
30.158887,25.119071,40.076181
30.158866,25.119137,45.076185
30.158842,25.119101,50.076262
30.158734,30.119160,15.076231
30.158848,30.119202,20.076280
30.158818,30.119026,25.076262
30.158762,30.119198,30.076186
30.158787,30.119127,35.076244
30.158867,30.119024,40.076243
30.158824,30.119054,45.076288
30.158781,30.119058,50.076225
30.158858,30.119048,55.076218
30.158867,35.119162,20.076184
30.158818,35.119100,25.076232
30.158725,35.119047,30.076353
30.158858,35.119198,35.076248
30.158912,35.119190,40.076278
30.158764,35.119171,45.076279
30.158768,35.119080,50.076187
30.158831,35.119159,55.076216
30.158915,40.119023,25.076246
30.158802,40.119023,30.076233
30.158758,40.119015,35.076281
30.158811,40.119153,40.076296
30.158752,40.119108,45.076215
30.158914,40.119113,50.076172
30.158830,45.119117,25.076296
30.158822,45.119118,30.076365
30.158842,45.119022,35.076264
30.158801,45.119136,40.076261
30.158822,45.119075,45.076340
30.158894,45.119115,50.076209
30.158762,50.119013,25.076349
30.158791,50.119132,30.076319
30.158788,50.119122,35.076368
30.158831,50.119127,40.076349
30.158789,50.119175,45.076365
30.158822,50.119150,50.076326
30.158909,55.119081,30.076301
30.158895,55.119178,35.076278
30.158728,55.119049,40.076169
30.158903,55.119075,45.076188
30.158872,55.119037,50.076271
30.158846,60.119204,30.076288
30.158909,60.119024,35.076184
30.158831,60.119040,40.076257
30.158888,60.119193,45.076367
30.158901,60.119072,50.076255
30.158822,65.119021,30.076179
30.158884,65.119165,35.076287
30.158757,65.119187,40.076347
30.158824,65.119075,45.076291
30.158897,65.119040,50.076280
30.158773,70.119135,30.076179
30.158877,70.119165,35.076180
30.158795,70.119109,40.076206
30.158783,70.119048,45.076190
30.158796,75.119011,30.076235
30.158831,75.119150,35.076355
30.158724,75.119188,40.076242
30.158730,75.119174,45.076177
30.158763,80.119011,30.076273
30.158742,80.119171,35.076295
30.158832,80.119144,40.076344
30.158896,80.119141,45.076275
30.158801,85.119125,30.076177
30.158834,85.119031,35.076200
30.158786,85.119055,40.076289
30.158885,85.119152,45.076169
30.158814,90.119031,35.076355
30.158859,90.119015,40.076254
30.158820,90.119126,45.076171
30.158808,95.119027,35.076319
30.158830,95.119147,40.076277
30.158743,100.119079,35.076199
30.158892,100.119040,40.076343
30.158785,105.119151,35.076188
30.158728,105.119060,40.076297
30.158733,415.119103,30.076281
30.158882,415.119173,35.076267
30.158917,420.119200,15.076299
30.158820,420.119081,20.076187
30.158797,420.119192,25.076225
30.158817,420.119099,30.076231
30.158729,420.119086,35.076318
30.158790,420.119008,40.076241
30.158835,425.119083,15.076355
30.158733,425.119033,20.076241
30.158807,425.119164,25.076180
30.158801,425.119075,30.076293
30.158814,425.119100,35.076246
30.158868,425.119089,40.076352
30.158783,425.119170,45.076213
30.158888,430.119071,15.076294
30.158849,430.119184,20.076228
30.158807,430.119093,25.076225
30.158902,430.119046,30.076337
30.158825,430.119198,35.076241
30.158781,430.119145,40.076276
30.158845,430.119047,45.076172
30.158911,435.119060,15.076295
30.158813,435.119148,20.076171
30.158804,435.119152,25.076212
30.158903,435.119052,30.076217
30.158792,435.119064,35.076250
30.158851,435.119162,40.076336
30.158720,435.119131,45.076195
30.158887,440.119168,15.076281
30.158744,440.119041,20.076361
30.158878,440.119176,25.076270
30.158784,440.119185,30.076272
30.158916,440.119085,35.076350
30.158885,440.119050,40.076233
30.158906,440.119074,45.076251
30.158720,445.119012,20.076273
30.158735,445.119029,25.076349
30.158896,445.119154,30.076322
30.158867,445.119134,35.076345
30.158751,445.119183,40.076254
35.158857,15.119089,25.076294
35.158729,15.119198,30.076309
35.158905,15.119050,35.076316
35.158792,15.119171,40.076206
35.158723,15.119113,45.076236
35.158781,20.119133,25.076252
35.158877,20.119176,30.076335
35.158756,20.119039,35.076185
35.158918,20.119189,40.076298
35.158733,20.119195,45.076235
35.158835,20.119029,50.076263
35.158809,25.119089,20.076303
35.158787,25.119055,25.076330
35.158750,25.119131,30.076233
35.158732,25.119155,35.076208
35.158819,25.119007,40.076358
35.158737,25.119131,45.076280
35.158903,25.119176,50.076303
35.158755,30.119014,20.076284
35.158875,30.119015,25.076228
35.158810,30.119173,30.076355
35.158815,30.119050,35.076226
35.158732,30.119031,40.076173
35.158892,30.119098,45.076268
35.158756,30.119041,50.076353
35.158753,30.119193,55.076260
35.158901,35.119098,25.076185
35.158743,35.119120,30.076319
35.158844,35.119050,35.076283
35.158886,35.119079,40.076334
35.158865,35.119050,45.076335
35.158824,35.119086,50.076342
35.158748,35.119088,55.076331
35.158770,40.119038,25.076337
35.158744,40.119141,30.076351
35.158759,40.119116,35.076327
35.158888,40.119166,40.076271
35.158816,40.119117,45.076286
35.158776,40.119066,50.076328
35.158772,40.119168,55.076207
35.158868,45.119177,25.076267
35.158830,45.119180,30.076220
35.158747,45.119106,35.076320
35.158889,45.119181,40.076244
35.158790,45.119161,45.076327
35.158770,45.119180,50.076203
35.158731,50.119034,30.076193
35.158757,50.119078,35.076335
35.158855,50.119047,40.076329
35.158803,50.119130,45.076320
35.158800,50.119185,50.076226
35.158880,55.119149,30.076204
35.158866,55.119064,35.076297
35.158843,55.119048,40.076321
35.158765,55.119159,45.076265
35.158733,55.119014,50.076367
35.158854,60.119020,30.076248
35.158870,60.119151,35.076328
35.158758,60.119118,40.076191
35.158727,60.119137,45.076290
35.158820,60.119067,50.076310
35.158857,65.119060,30.076341
35.158758,65.119179,35.076182
35.158915,65.119127,40.076325
35.158822,65.119155,45.076346
35.158746,65.119087,50.076230
35.158833,70.119030,30.076299
35.158870,70.119160,35.076223
35.158864,70.119185,40.076175
35.158848,70.119192,45.076345
35.158831,70.119139,50.076259
35.158845,75.119123,30.076337
35.158755,75.119084,35.076357
35.158829,75.119104,40.076330
35.158911,75.119104,45.076366
35.158783,75.119164,50.076188
35.158876,80.119105,30.076170
35.158763,80.119193,35.076350
35.158811,80.119172,40.076233
35.158854,80.119133,45.076247
35.158808,80.119155,50.076310
35.158911,85.119074,30.076227
35.158782,85.119038,35.076241
35.158877,85.119105,40.076350
35.158798,85.119020,45.076238
35.158913,90.119128,30.076211
35.158767,90.119016,35.076183
35.158902,90.119065,40.076187
35.158836,90.119005,45.076366
35.158883,95.119008,30.076226
35.158911,95.119052,35.076364
35.158882,95.119074,40.076337
35.158836,95.119089,45.076279
35.158801,100.119029,30.076321
35.158894,100.119178,35.076256
